hotel_id,name,star,score,review_count,address,scraped_at
97215081,云鼎智能电竞酒店(翠柏商贸城店),3,4.6,49,保龄街富力城中央公寓1栋2楼,2026-09-14 09:06:08
3122010,宜宾美柯特主题酒店,2,4.2,39,岷江西路73号新纪元大厦2楼,2026-09-14 09:06:08
63326194,宜宾怡豪酒店(大学城店),2,4.1,81,临港经开区新楼路287号学府华庭8幢1层1号,2026-09-14 09:06:08
73261799,宜宾怡馨民宿,2,4.7,12,清溪路鲁能公馆壹号11楼4号,2026-09-14 09:06:08
128048203,宜宾曦曦民宿,2,4.7,42,南丝路公馆贰号1幢1212号,2026-09-14 09:06:08
89822452,宜宾清语轩民宿,2,4.5,8,南岸航天路中段4号莱茵河畔月光半岛26幢1单元11层08号,2026-09-14 09:06:08
103755994,宜宾木居酒店(冠英古街大观楼店),2,4.4,356,合江门街道林家巷56号1幢1单元2楼1号,2026-09-14 09:06:08
1551813,宜宾柑子园酒店(冠英古街大观楼店),2,4.2,184,南岸柑子园街25号,2026-09-14 09:06:08
108247277,雅舍·兰香民宿(临港大学城店),2,4.8,30,护国路79号铜雀台7幢2单元7层1号,2026-09-14 09:06:08
97593762,栖居酒店(宜宾国际会展中心西部食品城店),2,4.6,472,港园路西段5号西部食品商贸城7幢3层1号,2026-09-14 09:06:08
114453420,宜宾时光之外民宿,2,4.4,7,柒公馆11楼1104室,2026-09-14 09:06:08
109236567,名庭国际大酒店(浙商临港新天地店),3,4.4,280,临港经开区LG-H08-05地块紫金城A地块1幢1单元1层7号,2026-09-14 09:06:08
15950962,佰郦·禅隐酒店(宜宾大学城第二人民医院临港院区店),3,4.4,270,黄桷坪路220号滨城尚都B8幢1层2号,2026-09-14 09:06:08
1994649,7天优品酒店(宜宾合江门翠屏山公园店),2,4.5,432,真武路223号,2026-09-14 09:06:08
123794639,铜雀台民宿,2,4.9,62,临港经开区G0505地块恒旭铜雀台1幢1单元14层2号,2026-09-14 09:06:08
128123620,锦江之星酒店(宜宾东站凯翼汽车店),3,4.8,123,港城大道中段与长江北路西段附四段交叉口南180米,2026-09-14 09:06:08
97224404,安缦酒店(西部食品城店),2,4.4,398,港园路西段5号西部食品城4栋3楼,2026-09-14 09:06:08
95213186,宜六八商务酒店,2,4.5,42,红丰东路20号3幢1-6层,2026-09-14 09:06:08
114672609,桂轮坊(李庄古镇店),3,4.7,415,天府堂街与同济大道交叉路口西南约220米,2026-09-14 09:06:08
96337492,奈斯·奢电竞酒店(宜宾国际会展中心店),2,4.7,174,长江北路西段附二段315号中国西南轻工博览城30栋320号,2026-09-14 09:06:08
128466339,宜宾●希威蔓丨LuxuryLightCinemaFilms智慧酒店(宜宾站西站店),3,4.8,381,利群路星未来1幢1层1-6号,2026-09-14 09:06:08
123678668,夕舍民宿(宜宾站店),2,4.3,87,荔枝路1号星未来4栋4楼,2026-09-14 09:06:08
134114088,此间与你休闲民宿(宜宾站店),2,4.9,42,南部新区荔枝路1号星未来公寓2栋5层5号,2026-09-14 09:06:08
128958034,水云轩民宿(宜宾合江门广场大观楼店),2,4.8,156,长源路三江口CBD长江公馆1号楼7楼709A,2026-09-14 09:06:08
97715255,花间客栈,2,4.2,66,清溪路5号公馆壹号1幢1单元306号,2026-09-14 09:06:08
133534311,逸柏国际酒店(宜宾合江门店),3,4.5,136,专署街50号北楼1层,2026-09-14 09:06:08
6982291,宜宾金沙印象酒店(叙州区政务中心店),2,4.5,362,柏溪街道城北新区一曼路三益幸福里一幢1-4-11层,2026-09-14 09:06:08
127169139,宜宾悦莱城市民宿,2,4.1,55,荔枝路1号星未来3幢13层13-5号,2026-09-14 09:06:08
115182436,漫时光民宿(万象汇店),2,4.6,81,临港新天地3幢12层,2026-09-14 09:06:08
117095521,涵晨民宿,2,4.0,26,光明路48号伴山悦城7栋902房,2026-09-14 09:06:08
25068297,宜宾·金语|Ezzy·Urban CultureHub酒店(大观楼理想城店),2,3.9,358,翠柏大道中段江语城12幢1层1号,2026-09-14 09:06:08
131771966,双熹院子·度假美宿(李庄古镇景区店),2,4.9,110,李庄镇永胜村八组85号,2026-09-14 09:06:08
132404813,极蜂电竞民宿(宜宾学院店),2,4.9,47,安阜街道川云中路青杠坡小区二期5号楼,2026-09-14 09:06:08
121756485,暖心居民宿,2,4.8,22,中元路4号碧桂园江山赋小区1期1栋103室,2026-09-14 09:06:08
106434381,科幻之城酒店(宜宾南溪古街店),3,4.7,331,锦西路498号,2026-09-14 09:06:08
133079939,长江之滨暖居民宿,0,4.9,13,赵场街道龙金庙路3号长江之滨A区2幢3单元1104号,2026-09-14 09:06:08
108944352,自在清境民宿(宜宾高铁西站店),2,4.6,186,天宫山路高铁城际公馆14楼1405室,2026-09-14 09:06:08
2189490,星畔湾酒店(万达广场长江公园店),2,4.6,222,南岸利民路10号,2026-09-14 09:06:08
6656966,城市云居连锁酒店(大观楼翠屏山店),2,4.5,847,翠屏路227号,2026-09-14 09:06:08
